3.10	软管	包塑金属软管(波纹管)	1.名称:100mm(4") 包塑金属软管(波纹管)附镀锌接头\n2.材质:镀锌金属软管和PVC包覆\n3.说明:含防水护套、穿线管接头、支吊架、接线盒、施工的其他一切耗材和穿越楼层、墙壁的防火封堵\n4.其他:详见技术规范及招标人要求	m	100mm	
4.1	电盘	电盘	1.名称:电盘PANEL-1200A(I-LINE)\n2.规格:1200A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	1200A	
4.2	电盘	电盘	1.名称:电盘PANEL-1000A(I-LINE)\n2.规格:1000A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	1000A	
4.3	电盘	电盘	1.名称:电盘PANEL-800A(I-LINE)\n2.规格:800A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	800A	
4.4	电盘	电盘	1.名称:电盘PANEL-630A(I-LINE)\n2.规格:630A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	630A	
4.5	电盘	电盘	1.名称:电盘PANEL-500A(I-LINE)\n2.规格:500A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	500A	
4.6	电盘	电盘	1.名称:电盘PANEL-400A(I-LINE)\n2.规格:400A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	400A	
4.7	电盘	电盘	1.名称:电盘PANEL-300A(I-LINE)\n2.规格:300A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	300A	
4.8	电盘	电盘	1.名称:电盘PANEL-200A(I-LINE)\n2.规格:200A 智能I-Line电盘，含多回路电流表\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	200A	
4.9	插座盘	插座盘	1.名称:插座盘\n2.规格:MG breaker,150A+30A*20pcs\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	150A+30A*20	
4.10	插座盘	插座盘	1.名称:插座盘\n2.规格:MG breaker,150A+30A*8pcs\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	150A+30A*8	
4.11	插座盘	插座盘	1.名称:插座盘\n2.规格:MG breaker,100A+20A*40pcs\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	100A+20A*40	
4.12	插座盘	插座盘	1.名称:插座盘\n2.规格:MG breaker,80A+16A*30pcs\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	80A+16A*30	
4.13	插座盘	插座盘	1.名称:插座盘\n2.规格:SD breaker,50A+10A*10pcs\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	50A+10A*10	
4.14	插座盘	插座盘	1.名称:插座盘\n2.规格:MG breaker,50A+16A*10pcs\n3.说明:包含电盘安装固定所需的C型钢、连接片、螺丝等一切辅材；警示标签\n4.其他:详见技术规范及招标人要求	个	50A+16A*10	
4.15	电盘通信安装	电盘通信安装	电盘通信接入电力监控系统，包含光纤集线盒、光纤跳线、耦合器、通信光纤、RS485屏蔽双绞线、网线等	套		
4.16	电盘通信调试	电盘通信调试	电力监控后台调试，含前置机、服务器电脑软件等	套		
5.1	母线插接箱	母线插接箱	1.名称:SQ-D PLUG-IN 1200A 母线插接开关箱\n2.规格:3相5线，busway用 含整套箱体 含支架等辅材 含配套开口式电流互感器\n3.说明:选用的开口式电流互感器须与Breaker、SCADA系统兼容，开口式电流互感器需配开路保护功能；含插接箱内开口式电流互感器接至多回路电表专用6*4平方多芯线\n4.其他:详见技术规范及招标人要求	个	1200A	
5.2	母线插接箱	母线插接箱	1.名称:SQ-D PLUG-IN 800A 母线插接开关箱\n2.规格:3相5线，busway用 含整套箱体 含支架等辅材 含配套开口式电流互感器\n3.说明:选用的开口式电流互感器须与Breaker、SCADA系统兼容，开口式电流互感器需配开路保护功能；含插接箱内开口式电流互感器接至多回路电表专用6*4平方多芯线\n4.其他:详见技术规范及招标人要求	个	800A	
